date | value
-- main test --
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2011-01-03 |
2012-01-11 | 1
2012-01-11 | 2147483648
-- invalid characters --
a120-01-13 | 3
1a20-01-13 | 3
12a0-01-13 | 3
120a-01-13 | 3
1200-a1-13 | 3
1200-1a-13 | 3
1200-12-a3 | 3
aa00-12-31 | 3
aaa0-12-31 | 3
aaaa-12-31 | 3
1492-aa-31 | 3
1492-11-aa | 3
1-11-11 | 3
11-11-11 | 3
111-11-11 | 3
1111-1-11 | 3
1111-11-1 | 3
1111--11 | 3
1111-11- | 3
-11-11 | 3
11111-11-11 | 3
1111-111-11 | 3
1111-11-111 | 3

 -- invalid dates --
1111-11-00 | 3
1111-00-00 | 3
1111-13-00 | 3
0000-11-01 | 3
 -- valid dates --
1111-11-11 | 3
3000-10-01 | 1
2009-01-01 | 1
2009-01-02 | 1
2009-01-03 | 1
0001-11-01 | 3
